Table size: 98852
Feature;Time(s)
-1274925967;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
145145;16.25
145265;16.25
335651753;16.25
335651873;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
467012073;16.25
467012193;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-1140705287;16.25
-1140705167;16.25
-201116631;16.27
-201116511;16.27
-201116631;16.27
-201116511;16.27
-201116631;16.27
-201116511;16.27
335651753;16.27
335651873;16.27
335651753;16.27
335651873;16.27
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-268266151;16.3
-268266031;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-134045943;16.3
-134045823;16.3
-1274926087;16.49
-1274925967;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
145145;16.49
145265;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-1274926087;16.49
-1274925967;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
-268266151;16.49
-268266031;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
467012073;16.49
467012193;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
335651753;16.49
335651873;16.49
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-201116631;16.5
-201116511;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
-134045943;16.5
-134045823;16.5
