Procedure;Address;Image;Calls;Instructions
_ZN9Item_func7compileEP3THDM4ItemFbPPhES4_MS2_FPS2_S1_S3_ES3_;94554511945792;mysqld;426307;57977752
_ZN6String7set_intExbPK15charset_info_st;94554510394128;mysqld;1594079;57386844
_Z18close_thread_tableP3THDPP5TABLE;94554509591024;mysqld;1022806;57277045
_ZN10Item_ident7cleanupEv;94554511647840;mysqld;2736525;56756295
_ZN17Item_result_field7cleanupEv;94554511647792;mysqld;5114372;56258092
my_multi_malloc;94554517195680;mysqld;515752;56226808
_ZN10Item_param5resetEv;94554511700688;mysqld;1935643;56133647
_ZN10Field_long5storeExb;94554511525168;mysqld;2439206;56101738
_Z18check_table_accessP3THDmP10TABLE_LISTbjb;94554509866848;mysqld;571518;56008052
_Z20net_after_header_psiP6st_netPvmc;94554509271136;mysqld;1056112;54917800
_ZN10Item_param17convert_str_valueEP3THD;94554511705232;mysqld;1935643;53855758
__pthread_enable_asynccancel;139732673737056;libpthread.so.0;4887962;53767582
_ZNK10Item_param13query_val_strEP3THDP6String;94554511704080;mysqld;1935643;53628617
_ZN11Query_cache35insert_into_free_memory_sorted_listEP17Query_cache_blockPS1_;94554509641152;mysqld;3319280;53392758
_ZN9Statement13set_statementEPS_;94554509660512;mysqld;3124438;53115446
galera_append_key;139732440339136;libgalera_smm.so;628879;52974946
_Z23is_indexed_agg_distinctP4JOINP4ListI10Item_fieldE;94554510199936;mysqld;967184;52689029
_Z13setup_on_exprP3THDP10TABLE_LISTb;94554509624448;mysqld;908785;52036787
_ZN4Item25cache_const_expr_analyzerEPPh;94554511714624;mysqld;1705228;52009454
_ZN3THD13set_statementEP9Statement;94554509670496;mysqld;2080292;52007300
_ZN3THD19cleanup_after_queryEv;94554509695872;mysqld;1051987;50511467
_ZN11Query_cache25register_tables_from_listEP3THDP10TABLE_LISTjPP23Query_cache_block_table;94554509647584;mysqld;563656;50165384
my_hash_sort;94554517088256;mysqld;4107687;49292244
_ZN13MYSQL_BIN_LOG11write_cacheEP3THDP11st_io_cache;94554512412048;mysqld;11469;49271433
_ZN3THD22binlog_write_table_mapEP5TABLEbPc;94554512458288;mysqld;408963;49075560
_ZN11Query_cache14allocate_blockEmcm;94554509645040;mysqld;1157876;48612768
_ZN3THD11clear_errorEb;94554509635856;mysqld;2449673;48309910
pthread_cond_signal;139732673726912;libpthread.so.0;3415565;48268316
_ZN12Field_string5storeEPKcjPK15charset_info_st;94554511546864;mysqld;766067;48262221
_ZN13MYSQL_BIN_LOG32flush_and_set_pending_rows_eventEP3THDP14Rows_log_eventb;94554512389840;mysqld;822978;47409645
_Z33check_join_cache_usage_for_tablesP4JOINyj;94554510165216;mysqld;541392;47293401
_ZN13st_select_lex16set_explain_typeEb;94554509850032;mysqld;905585;47090420
_ZN17Item_func_between18fix_length_and_decEv;94554511802288;mysqld;452825;47069800
_ZN11Query_cache13end_of_resultEP3THD;94554509648576;mysqld;1056111;46803313
_Z13cleanup_itemsP4Item;94554509863024;mysqld;1040146;46654293
.text;94554516247488;mysqld;0;46496311
_Z36read_statistics_for_tables_if_neededP3THDP10TABLE_LIST;94554510368400;mysqld;791822;45924964
_ZN10Item_param13save_in_fieldEP5Fieldb;94554511655424;mysqld;2226864;44863331
_ZN17Item_func_between14add_key_fieldsEP4JOINPP9KEY_FIELDPjyPP14SARGABLE_PARAM;94554510086848;mysqld;451225;44471931
_Z17trans_commit_stmtP3THD;94554510820864;mysqld;1047997;43692770
_ZN7handler17ha_index_read_mapEPhPKhm16ha_rkey_function;94554511607280;mysqld;767880;43396792
_Z29setup_tables_and_check_accessP3THDP23Name_resolution_contextP4ListI10TABLE_LISTEPS4_RS5_bmmb;94554509621072;mysqld;1023121;42969836
_Znwm;139732670574176;libstdc++.so.6;3906285;42969135
_ZN13Explain_queryC2EP3THDP11st_mem_root;94554510876288;mysqld;1019521;42819882
_Z15end_read_recordP11READ_RECORD;94554512699328;mysqld;1917507;42504118
_Z20append_possible_keysP11st_mem_rootR11String_listP5TABLE6BitmapILj64EE;94554510212880;mysqld;882965;42374844
_ZN14Arg_comparator12set_cmp_funcEP16Item_func_or_sumPP4ItemS4_;94554511791600;mysqld;552636;42009936
set_thd_proc_info;94554509672720;mysqld;2787686;41815290
_Z25const_expression_in_whereP4ItemS0_P5FieldPS0_;94554510137872;mysqld;775503;41624342
strend;94554517554928;mysqld;569814;41554858
_ZN11Query_cache16join_free_blocksEP17Query_cache_blockS1_;94554509643584;mysqld;1479438;41424264
_ZN11Query_cache19allocate_data_chainEPP17Query_cache_blockmS1_c;94554509652992;mysqld;564392;41018418
_Z15wsrep_sync_waitP3THDj;94554511153296;mysqld;1486417;40133259
