              Procedure           Image            Address        Calls Instructions
_Z24sub_select_postjoin_aggrP4JOINP13st_join_tableb          mysqld       565459ce68a0        24278       416968
_ZN7AGGR_OP10put_recordEb          mysqld       565459ce65e0        24278       464110
   _ZNK8Item_int4typeEv          mysqld       565459c0ed70        23976       119880
_ZN11Query_arena15set_query_arenaEPS_          mysqld       565459c5e670        23708       237080
_ZN5TABLE18actual_n_key_partsEP6st_key          mysqld       565459d3f090        23600       188800
    my_hash_sort_simple          mysqld       56545a3b97e0        23572       825004
my_hash_sort_simple_nopad          mysqld       56545a3b9760        23572     39858670
_ZN7handler10ha_rnd_posEPhS0_          mysqld       565459e33450        23571      1225692
_ZN7handler16ha_write_tmp_rowEPh          mysqld       565459ce99e0        23571      1131408
_Z10copy_funcsPP4ItemPK3THD          mysqld       565459cd7820        23571       447849
_Z19check_stack_overrunP3THDlPh          mysqld       565459c8af50        23535       564840
_Z8key_copyPhS_P6st_keyjb          mysqld       565459eedb50        23504      1245784
_ZN10Field_long6unpackEPhPKhS2_j          mysqld       565459e26c20        23501       211509
_ZN12Field_string6unpackEPhPKhS2_j          mysqld       565459e1ad20        23501       963541
      clock_gettime@plt libgalera_smm.so       7fc74c1fe6f0        21898        21898
_ZNK3THD29binlog_get_pending_rows_eventEb          mysqld       565459ef25b0        21858       519210
_ZN16Lex_input_stream16body_utf8_appendEPKc          mysqld       565459c80060        20040       100200
_ZN16Lex_input_stream16body_utf8_appendEPKcS1_          mysqld       565459c7ffe0        20040        60120
_ZN13String_copier16well_formed_copyEPK15charset_info_stPcjS2_PKcjj          mysqld       565459d0c860        20013       800616
_ZN13Field_longstr23check_string_copy_errorEPK13String_copierPKcPK15charset_info_st          mysqld       565459e242a0        20010       520260
_ZN13Field_longstr24report_if_important_dataEPKcS1_b          mysqld       565459e215a0        20010       540270
_ZN4Item8set_nameEP3THDPKcjPK15charset_info_st          mysqld       565459e46240        20008      1260372
   _ZN11Item_stringD2Ev          mysqld       565459e55290        20007       120042
_ZN11Item_string13save_in_fieldEP5Fieldb          mysqld       565459e44990        20007       340119
_ZN4Item23save_str_value_in_fieldEP5FieldP6String          mysqld       565459e44930        20007       340119
_ZN6String19set_or_copy_alignedEPKcjPK15charset_info_st          mysqld       565459d0b680        20007       600210
           my_copy_8bit          mysqld       56545a3bb5f0        20004       580100
_ZN12Field_string5storeEPKcjPK15charset_info_st          mysqld       565459e249f0        20004      1260252
_Z24sql_strmake_with_convertP3THDPKcmPK15charset_info_stmS5_Pm          mysqld       565459d42080        20004      1080216
my_charset_is_ascii_based          mysqld       56545a3d14e0        20003       260039
       my_numchars_8bit          mysqld       56545a3bbb10        20003       120018
_ZN11Item_stringC2EP3THDPKcjPK15charset_info_st10Derivationj          mysqld       565459e01730        20003      1120168
 _ZNK6String8numcharsEv          mysqld       565459d0c130        20003       220033
_ZN16Lex_input_stream8get_textEP19st_mysql_lex_stringjii          mysqld       565459c80c80        20003     43040338
_ZN16Lex_input_stream23body_utf8_append_escapeEP3THDPK19st_mysql_lex_stringPK15charset_info_stPKcm          mysqld       565459c80380        20003        60009
_ZNK5Field15max_data_lengthEv          mysqld       565459e251c0        20000       120000
_ZNK13Field_longstr15max_data_lengthEv          mysqld       565459e11390        20000       160000
     _IO_default_xsputn       libc.so.6       7fc759888630        19479       769601
_ZNK16Item_func_or_sum11used_tablesEv          mysqld       565459c50de0        19138        95690
  create_last_word_mask          mysqld       56545a388500        19015       513309
         my_bitmap_init          mysqld       56545a388580        18779       544618
            sched_yield       libc.so.6       7fc7598f7820        18102        90510
       _ZN8Item_intD2Ev          mysqld       565459e555f0        17888       107328
_ZN13st_select_lex7cleanupEv          mysqld       565459d27b30        17856       713311
              _Znwm@plt  libstdc++.so.6       7fc759f670e0        17844        17846
       thd_tx_isolation          mysqld       565459c5b530        17739        88695
_ZN17Query_cache_block5tableEv          mysqld       565459c52d80        17701        70804
 getopt_compare_strings          mysqld       56545a38b980        17363       409591
_ZN7SEL_ARG7sel_cmpEP5FieldPhS2_hh          mysqld       565459f27dc0        17352       242928
_ZNK9Field_num11result_typeEv          mysqld       565459e25550        17067        85335
            memdup_root          mysqld       56545a3884c0        17024       357504
_ZN12Type_handler25get_handler_by_field_typeE16enum_field_types          mysqld       565459db67f0        16700       200400
     lf_dynarray_lvalue          mysqld       56545a39e9e0        16297       521616
        my_charlen_8bit          mysqld       56545a3b9690        15938       127504
_Z12setup_fieldsP3THD20Bounds_checked_arrayIP4ItemER4ListIS2_E17enum_mark_columnsPS6_S9_b          mysqld       565459c4dd00        15913      2598654
 _ZN8Item_int7val_intEv          mysqld       565459c0ed90        15900        79500
_Z13item_cmp_type11Item_resultS_          mysqld       565459e50790        15721       188778
_ZN10TABLE_LIST33is_with_table_recursive_referenceEv          mysqld       565459dbf350        15717       125736
_ZNK10Item_param11result_typeEv          mysqld       565459e53410        15713       109991
_ZNK23Type_handler_int_result11result_typeEv          mysqld       565459db6bb0        15712        78560
         insert_dynamic          mysqld       56545a368a20        15595       311900
_ZN17Query_cache_block4initEm          mysqld       565459c52c90        15541       124328
_ZN11Query_cache11split_blockEP17Query_cache_blockm          mysqld       565459c54030        15540       512820
_ZN11Query_cache17free_memory_blockEP17Query_cache_block          mysqld       565459c53fa0        15540       450657
_ZN11Query_cache16join_free_blocksEP17Query_cache_blockS1_          mysqld       565459c53f40        15540       435120
_ZN17Query_cache_block7destroyEv          mysqld       565459c52cb0        15540        77700
       _ZN5Field2eqEPS_          mysqld       565459e271e0        15515       360775
_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_M_constructIPcEEvT_S7_St20forward_iterator_tag.isra.240 libgalera_smm.so       7fc74c2d42e0        14960       467105
              lh_insert libcrypto.so.1.0.0       7fc75a79d520        14273       646988
_ZNK16Item_func_or_sum10const_itemEv          mysqld       565459c50dd0        13994        69970
              strchrnul       libc.so.6       7fc7598a3760        13938       353472
_ZN5gcomm12AsioProtonet5leaveEv libgalera_smm.so       7fc74c347780        13775        96425
_ZN5gcomm12AsioProtonet5enterEv libgalera_smm.so       7fc74c347760        13775        96425
            memmove@plt libgalera_smm.so       7fc74c1fea00        13602        13602
              thd_alloc          mysqld       565459c5c3b0        13188        65940
_Z19thd_get_current_thdv          mysqld       565459c5af10        13184        79104
_ZN10DsMrr_impl11dsmrr_closeEv          mysqld       565459d935d0        12546       138006
