Procedure;Image;Calls;Instructions
wsrep_prepare_key;mysqld;12079;591871
asio::detail::reactive_socket_recv_op_base<asio::detail::consuming_buffers<asio::mutable_buffer, std::tr1::array<asio::mutable_buffer, 1ul> > >::do_perform(asio::detail::reactor_op*);libgalera_smm.so;4959;590209
setup_on_expr(THD*, TABLE_LIST*, bool);mysqld;10437;585235
std::tr1::_Hashtable<galera::KeyEntryNG*, galera::KeyEntryNG*, std::allocator<galera::KeyEntryNG*>, std::_Identity<galera::KeyEntryNG*>, galera::KeyEntryPtrEqualNG, galera::KeyEntryPtrHashNG, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::_M_insert_bucket(galera::KeyEntryNG* const&, unsigned long, unsigned long);libgalera_smm.so;10575;585200
pthread_cond_wait;libpthread.so.0;8619;584897
setup_windows(THD*, Bounds_checked_array<Item*>, TABLE_LIST*, List<Item>&, List<Item>&, List<Window_spec>&, List<Item_window_func>&);mysqld;8559;581924
MDL_context::try_acquire_lock_impl(MDL_request*, MDL_ticket**);mysqld;13604;571364
JOIN::make_sum_func_list(List<Item>&, List<Item>&, bool, bool);mysqld;10185;570766
read_statistics_for_tables_if_needed(THD*, TABLE_LIST*);mysqld;9821;569602
Item_change_list::nocheck_register_item_tree_change(Item**, Item*, st_mem_root*);mysqld;16671;566814
sub_select_postjoin_aggr(JOIN*, st_join_table*, bool);mysqld;33047;565549
JOIN::optimize();mysqld;8554;565193
vio_write;mysqld;12540;564300
String::append(String const&);mysqld;16879;563257
gu::Allocator::alloc(unsigned int, bool&);libgalera_smm.so;15604;562008
MDL_context::release_locks_stored_before(enum_mdl_duration, MDL_ticket*);mysqld;30391;560351
pthread_cond_signal;libpthread.so.0;37942;554586
Item_field::val_decimal(my_decimal*);mysqld;32474;552058
Table_map_log_event::Table_map_log_event(THD*, TABLE*, unsigned long, bool);mysqld;2083;551995
QUICK_RANGE_SELECT::get_type();mysqld;110282;551410
make_select(TABLE*, unsigned long long, unsigned long long, Item*, SORT_INFO*, bool, int*);mysqld;11435;548880
advance_sj_state(JOIN*, unsigned long long, unsigned int, double*, double*, st_position*);mysqld;2504;548376
Item_ident::cleanup();mysqld;26314;547980
Log_event_writer::write_header(unsigned char*, unsigned long);mysqld;14236;547338
gcomm::crc32(gcomm::NetHeader::checksum, gcomm::Datagram const&, unsigned long);libgalera_smm.so;6969;544498
Query_cache::insert_table(THD*, unsigned int, char const*, Query_cache_block_table*, unsigned int, unsigned char, unsigned char, char (*)(THD*, char*, unsigned int, unsigned long long*), unsigned long long, char);mysqld;8546;544431
st_select_lex::set_explain_type(bool);mysqld;10429;542308
gcomm::AsioTcpSocket::send(gcomm::Datagram const&);libgalera_smm.so;3593;536954
THD::clear_error(bool);mysqld;26945;535148
Field::get_key_image(unsigned char*, unsigned int, Field::imagetype);mysqld;41015;533195
Rows_log_event::do_add_row_data(unsigned char*, unsigned long);mysqld;13047;526718
galera::Monitor<galera::ReplicatorSMM::CommitOrder>::~Monitor();libgalera_smm.so;1;524377
galera::Monitor<galera::ReplicatorSMM::ApplyOrder>::~Monitor();libgalera_smm.so;1;524377
galera::Monitor<galera::ReplicatorSMM::LocalOrder>::~Monitor();libgalera_smm.so;1;524377
Query_cache::free_query_internal(Query_cache_block*);mysqld;8546;521306
String::set_int(long long, bool, charset_info_st const*);mysqld;14375;517500
pthread_mutex_destroy;libpthread.so.0;51699;516990
insert_dynamic;mysqld;25839;516780
Explain_query::add_node(Explain_node*);mysqld;8554;513240
Item_param::append_for_log(THD*, String*);mysqld;16250;513125
trans_commit_stmt(THD*);mysqld;12525;508325
memdup_root;mysqld;24037;504777
Query_cache::process_and_count_tables(THD*, TABLE_LIST*, unsigned char*);mysqld;8546;504214
galera::Wsdb::create_trx(galera::TrxHandle::Params const&, wsrep_uuid const&, unsigned long);libgalera_smm.so;629;503200
cleanup_empty_jtbm_semi_joins(JOIN*, List<TABLE_LIST>*);mysqld;17109;496041
is_indexed_agg_distinct(JOIN*, List<Item_field>*);mysqld;9560;491195
Item_equal::fix_fields(THD*, Item**);mysqld;6046;489726
JOIN::destroy();mysqld;8559;487701
gcomm::evs::Proto::handle_up(void const*, gcomm::Datagram const&, gcomm::ProtoUpMeta const&);libgalera_smm.so;3363;487580
Log_event::write_header(unsigned long);mysqld;7755;480864
Type_handler::get_handler_by_field_type(enum_field_types);mysqld;40046;480552
_IO_default_xsputn;libc.so.6;12034;477877
THD::set_query(CSET_STRING const&);mysqld;12543;476634
Field::make_field(Send_field*);mysqld;7933;475972
