Procedure;Image;Calls;Instructions
Field::val_uint();mysqld;640330;3841980
wsrep_consistency_check;mysqld;640330;3841980
Lex_input_stream::body_utf8_append_escape(THD*, st_mysql_lex_string const*, charset_info_st const*, char const*, unsigned long);mysqld;1280219;3840657
gcomm::evs::Proto::aggregate_len() const;libgalera_smm.so;51529;3816740
gcomm::evs::Proto::handle_gap(gcomm::evs::GapMessage const&, std::_Rb_tree_iterator<std::pair<gcomm::UUID const, gcomm::evs::Node> >);libgalera_smm.so;40201;3786978
gcomm::evs::Proto::handle_user(gcomm::evs::UserMessage const&, std::_Rb_tree_iterator<std::pair<gcomm::UUID const, gcomm::evs::Node> >, gcomm::Datagram const&);libgalera_smm.so;21984;3726726
gcomm::evs::Proto::send_gap(gcomm::evs::Caller const&, gcomm::UUID const&, gcomm::ViewId const&, gcomm::evs::Range, bool, bool);libgalera_smm.so;18251;3723168
gcomm::gmcast::Message::Message();libgalera_smm.so;43958;3692472
asio::detail::reactive_socket_service_base::start_op(asio::detail::reactive_socket_service_base::base_implementation_type&, int, asio::detail::reactor_op*, bool, bool, bool);libgalera_smm.so;83998;3527974
Field::key_cmp(unsigned char const*, unsigned int);mysqld;440676;3525408
Field::make_sort_key(unsigned char*, unsigned int);mysqld;219848;3517568
boost::detail::shared_count::shared_count(boost::detail::weak_count const&);libgalera_smm.so;120595;3376660
gcomm::evs::Proto::unserialize_message(gcomm::UUID const&, gcomm::Datagram const&, gcomm::evs::Message*);libgalera_smm.so;43943;3295699
Protocol::send_result_set_metadata(List<Item>*, unsigned int);mysqld;11586;3290019
open_tables(THD*, DDL_options_st const&, TABLE_LIST**, unsigned int*, unsigned int, Prelocking_strategy*);mysqld;10880;3276946
thd_kill_level;mysqld;466017;3262119
Item_int::val_int();mysqld;644527;3222635
switch_to_nullable_trigger_fields(List<Item>&, TABLE*);mysqld;643408;3217040
wsrep_thd_ignore_table;mysqld;640664;3203320
wsrep_thd_ws_handle;mysqld;640664;3203320
wsrep_thd_exec_mode;mysqld;640664;3203320
set_thd_stage_info;mysqld;87806;3168414
asio::detail::task_io_service::post_immediate_completion(asio::detail::task_io_service_operation*, bool);libgalera_smm.so;74703;3146022
malloc@plt;libstdc++.so.6;3121056;3121058
free@plt;libstdc++.so.6;3121055;3121057
operator delete(void*);libstdc++.so.6;3120968;3120968
void gcomm::push_header<gcomm::gmcast::Message>(gcomm::gmcast::Message const&, gcomm::Datagram&);libgalera_smm.so;29404;3028612
my_malloc;mysqld;78297;2998413
__pthread_disable_asynccancel;libpthread.so.0;249695;2996340
gcomm::gmcast::Message::unserialize(unsigned char const*, unsigned long, unsigned long);libgalera_smm.so;43958;2989423
copy_fields(TMP_TABLE_PARAM*);mysqld;110589;2983935
THD::inc_sent_row_count(unsigned long long);mysqld;330820;2977380
asio::detail::epoll_reactor::descriptor_state::do_complete(asio::detail::task_io_service*, asio::detail::task_io_service_operation*, asio::error_code const&, unsigned long);libgalera_smm.so;26593;2975133
Item_field::send(Protocol*, String*);mysqld;330492;2974428
gcomm::AsioTcpSocket::read_completion_condition(asio::error_code const&, unsigned long);libgalera_smm.so;50342;2819131
get_charset;mysqld;73387;2767618
__pthread_enable_asynccancel;libpthread.so.0;249695;2746645
Aggregator_simple::arg_is_null(bool);mysqld;109598;2739950
gcomm::evs::Proto::deliver_local(bool);libgalera_smm.so;73331;2713247
memcmp@plt;libgalera_smm.so;2641095;2641095
my_strxfrm_desc_and_reverse;mysqld;219848;2638176
asio::detail::epoll_reactor::run(bool, asio::detail::op_queue<asio::detail::task_io_service_operation>&);libgalera_smm.so;46093;2619189
JOIN::prepare(TABLE_LIST*, unsigned int, Item*, unsigned int, st_order*, bool, st_order*, Item*, st_order*, st_select_lex*, st_select_lex_unit*);mysqld;6978;2599754
gcomm::evs::Message::unserialize(unsigned char const*, unsigned long, unsigned long);libgalera_smm.so;43943;2592641
operator new[](unsigned long);libstdc++.so.6;641967;2567868
AGGR_OP::end_send();mysqld;330;2564383
find_field_in_tables(THD*, Item_ident*, TABLE_LIST*, TABLE_LIST*, Item**, find_item_error_report_type, bool, bool);mysqld;23138;2561658
rr_from_pointers(READ_RECORD*);mysqld;110591;2540623
JOIN::optimize_inner();mysqld;4418;2537640
my_b_safe_write;mysqld;141025;2526453
gcomm::ViewId::operator==(gcomm::ViewId const&) const [clone .part.26];libgalera_smm.so;223055;2453605
_downheap;mysqld;25565;2444754
asio::detail::reactive_socket_recv_op<asio::detail::consuming_buffers<asio::mutable_buffer, std::tr1::array<asio::mutable_buffer, 1ul> >, asio::detail::read_op<asio::basic_stream_socket<asio::ip::tcp, asio::stream_socket_service<asio::ip::tcp> >, std::tr1::array<asio::mutable_buffer, 1ul>, boost::_bi::bind_t<unsigned long, boost::_mfi::mf2<unsigned long, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> >, boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> > > >::do_complete(asio::detail::task_io_service*, asio::detail::task_io_service_operation*, asio::error_code const&, unsigned long);libgalera_smm.so;25172;2441672
Item_field::used_tables() const;mysqld;109218;2406682
operator delete(void*)@plt;libgalera_smm.so;2402477;2402477
operator new(unsigned long)@plt;libgalera_smm.so;2399748;2399748
Item_field::set_field(Field*);mysqld;23138;2346120
asio::async_result<asio::handler_type<boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> >, void (asio::error_code, unsigned long)>::type>::type asio::async_read<asio::basic_stream_socket<asio::ip::tcp, asio::stream_socket_service<asio::ip::tcp> >, std::tr1::array<asio::mutable_buffer, 1ul>, boost::_bi::bind_t<unsigned long, boost::_mfi::mf2<unsigned long, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> >, boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> > >(asio::basic_stream_socket<asio::ip::tcp, asio::stream_socket_service<asio::ip::tcp> >&, std::tr1::array<asio::mutable_buffer, 1ul> const&, boost::_bi::bind_t<unsigned long, boost::_mfi::mf2<unsigned long, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> >, boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> > const&);libgalera_smm.so;25172;2340996
Protocol_binary::store(char const*, unsigned long, charset_info_st const*);mysqld;330814;2315698
get_collation_number;mysqld;9;2310483
Field_num::val_decimal(my_decimal*);mysqld;109598;2301558
std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);libstdc++.so.6;81727;2266037
gcomm::AsioTcpSocket::read_one(std::tr1::array<asio::mutable_buffer, 1ul>&);libgalera_smm.so;25172;2265480
asio::detail::read_op<asio::basic_stream_socket<asio::ip::tcp, asio::stream_socket_service<asio::ip::tcp> >, std::tr1::array<asio::mutable_buffer, 1ul>, boost::_bi::bind_t<unsigned long, boost::_mfi::mf2<unsigned long, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> >, boost::_bi::bind_t<void, boost::_mfi::mf2<void, gcomm::AsioTcpSocket, asio::error_code const&, unsigned long>, boost::_bi::list3<boost::_bi::value<boost::shared_ptr<gcomm::AsioTcpSocket> >, boost::arg<1> (*)(), boost::arg<2> (*)()> > >::~read_op();libgalera_smm.so;100688;2215136
gcomm::unserialize(unsigned char const*, unsigned long, unsigned long, gcomm::NetHeader&);libgalera_smm.so;69126;2212032
thd_get_thread_id;mysqld;441732;2208660
Log_event_writer::write_internal(unsigned char const*, unsigned long);mysqld;141022;2115330
std::_Rb_tree<gcomm::InputMapMsgKey, std::pair<gcomm::InputMapMsgKey const, gcomm::evs::InputMapMsg>, std::_Select1st<std::pair<gcomm::InputMapMsgKey const, gcomm::evs::InputMapMsg> >, std::less<gcomm::InputMapMsgKey>, std::allocator<std::pair<gcomm::InputMapMsgKey const, gcomm::evs::InputMapMsg> > >::_M_erase(std::_Rb_tree_node<std::pair<gcomm::InputMapMsgKey const, gcomm::evs::InputMapMsg> >*);libgalera_smm.so;37420;2108101
strmake;mysqld;25466;2106294
AGGR_OP::put_record(bool);mysqld;110591;2102549
copy_funcs(Item**, THD const*);mysqld;110261;2094959
std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);libstdc++.so.6;47386;2092092
lf_hash_search_using_hash_value;mysqld;26675;2087581
test_if_group_changed(List<Cached_item>&);mysqld;109598;2082362
open_table(THD*, TABLE_LIST*, Open_table_context*);mysqld;11207;2071365
gcomm::evs::InputMap::cleanup_recovery_index();libgalera_smm.so;33025;2021371
gcomm::evs::InputMap::set_safe_seq(unsigned long, long);libgalera_smm.so;33025;2014525
escape_string_for_mysql;mysqld;990;1992870
Item_field::fix_fields(THD*, Item**);mysqld;23138;1973450
